hid,front,back,side,inside,combo,trees,sky,grass,score,SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,redfin est,listed price,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE,comments
40,1,,,,,1,,1,4,PAST SALE,July-20-2020,Single Family Residential,1278 Golden Eagle Dr,864343,825000,Reston,VA,20194,810000,5,3.5,RESTON,3040,11149,1985,13,266,59,Sold,,,http://www.redfin.com/VA/Reston/1278-Golden-Eagle-Dr-20194/home/9122552,BRIGHT MLS,VAFX1128098,N,Y,38.9863481,-77.3465528,
41,1,,,,,1,1,,3,PAST SALE,July-10-2020,Townhouse,2330 Harleyford Ct,484762,469900,Reston,VA,20191,480000,3,2.5,DEEPWOOD BLK D,1640,1400,1976,23,293,140,Sold,,,http://www.redfin.com/VA/Reston/2330-Harleyford-Ct-20191/home/9320107,BRIGHT MLS,VAFX1133548,N,Y,38.9333404,-77.3573419,
42,1,,,,,1,1,,4,PAST SALE,July-23-2020,Single Family Residential,11410 Night Star Way,891180,879900,Reston,VA,20194,882000,5,3.5,RESTON,4145,14195,1994,10,213,67,Sold,,,http://www.redfin.com/VA/Reston/11410-Night-Star-Way-20194/home/9123397,BRIGHT MLS,VAFX1134880,N,Y,38.9906551,-77.341214,
43,1,,,,,1,1,1,3,PAST SALE,July-28-2020,Single Family Residential,12622 Holkein Dr,508830,509000,Herndon,VA,20171,515000,4,3,FOX MILL ESTATES,1524,10901,1978,5,338,15,Sold,,,http://www.redfin.com/VA/Herndon/12622-Holkein-Dr-20171/home/9295769,BRIGHT MLS,VAFX1131326,N,Y,38.9371554,-77.3835591,
44,1,,,1,1,1,,,3,PAST SALE,July-31-2020,Townhouse,12160 Tryton Way,870295,875000,Reston,VA,20190,865000,3,2.5,RESTON SEC 933 BLK 4 LOG,2579,3132,1998,2,335,124,Sold,,,http://www.redfin.com/VA/Reston/12160-Tryton-Way-20190/home/9234088,BRIGHT MLS,VAFX1118320,N,Y,38.958239,-77.366324,
45,1,,,,,1,1,1,4,PAST SALE,July-31-2020,Townhouse,1542 Deer Point Way,595342,599900,Reston,VA,20194,588000,4,3.5,RESTON SEC 39 BLK 5,1874,2726,1988,2,314,100,Sold,,,http://www.redfin.com/VA/Reston/1542-Deer-Point-Way-20194/home/9132780,BRIGHT MLS,VAFX1129002,N,Y,38.9792047,-77.3556597,
46,,,1,,,1,,1,2,PAST SALE,July-31-2020,Condo/Co-op,2220 Springwood Dr Unit 102-B,312395,325000,Reston,VA,20191,310000,2,2,BRISTOL HOUSE CONDO,1108,,1986,2,280,399,Sold,,,http://www.redfin.com/VA/Reston/2220-Springwood-Dr-20191/unit-102-B/home/9344758,BRIGHT MLS,VAFX1135528,N,Y,38.93382,-77.3511433,
47,,,,1,,1,,,2,PAST SALE,July-31-2020,Townhouse,11576 Woodhollow Ct,495359,494900,Reston,VA,20191,520000,3,3.5,RESTON SEC 56 BLK 1 SOAP,1466,1650,1972,2,355,170,Sold,,,http://www.redfin.com/VA/Reston/11576-Woodhollow-Ct-20191/home/9350902,BRIGHT MLS,VAFX1126152,N,Y,38.92775,-77.343323,
48,,,,1,,1,,,2,PAST SALE,July-31-2020,Condo/Co-op,11156 Boathouse Ct #73,421956,429900,Reston,VA,20191,427000,2,2.5,DOCKSIDE CONDO,1120,,1982,2,381,434,Sold,,,http://www.redfin.com/VA/Reston/11156-Boathouse-Ct-20191/unit-73/home/9356192,BRIGHT MLS,VAFX1130206,N,Y,38.9342164,-77.3297732,
49,1,,,,,1,1,1,2,PAST SALE,July-21-2020,Single Family Residential,10601 Chamberlain Dr,1127526,1100000,Vienna,VA,22182,1152500,4,4.5,BARONS BROOK,4815,35998,1994,12,239,,Sold,,,http://www.redfin.com/VA/Vienna/10601-Chamberlain-Dr-22182/home/9247429,BRIGHT MLS,VAFX1128088,N,Y,38.969096,-77.3109484,
50,1,,,,,1,1,1,4,PAST SALE,July-16-2020,Single Family Residential,1282 Cobble Pond Way,1192143,1190000,Vienna,VA,22182,1155000,5,5.5,ESTATES AT GREAT FALLS C,6084,38593,1998,17,190,159,Sold,,,http://www.redfin.com/VA/Vienna/1282-Cobble-Pond-Way-22182/home/9247571,BRIGHT MLS,VAFX1119794,N,Y,38.9697325,-77.3096245,
51,,,1,,,,,,2,PAST SALE,July-7-2020,Condo/Co-op,11611 Vantage Hill Rd Unit 21B,267537,259990,Reston,VA,20190,265000,2,2,VANTAGE HILL CONDO,998,,1967,26,266,517,Sold,,,http://www.redfin.com/VA/Reston/11611-Vantage-Hill-Rd-20190/unit-21B/home/9230802,BRIGHT MLS,VAFX1132292,N,Y,38.9673156,-77.3465752,
52,1,,,,,1,1,,3,PAST SALE,July-21-2020,Townhouse,11795 Indian Ridge Rd,561962,549000,Reston,VA,20191,550000,3,3.5,INDIAN RIDGE CLUSTER,2296,2385,1972,12,240,141,Sold,,,http://www.redfin.com/VA/Reston/11795-Indian-Ridge-Rd-20191/home/9232916,BRIGHT MLS,VAFX1132422,N,Y,38.94685,-77.355151,
53,1,,,,,1,1,,2,PAST SALE,July-27-2020,Townhouse,11701 Indian Ridge Rd,615614,620000,Reston,VA,20191,605000,4,3.5,RESTON,2686,2613,1972,6,225,141,Sold,,,http://www.redfin.com/VA/Reston/11701-Indian-Ridge-Rd-20191/home/9237165,BRIGHT MLS,VAFX1124984,N,Y,38.9467835,-77.3509045,
54,1,,,,,1,1,1,2,PAST SALE,July-28-2020,Condo/Co-op,2341 Freetown Ct Unit 21C,217987,220000,Reston,VA,20191,215000,3,1,GLENVALE,1004,,1973,5,214,425,Sold,,,http://www.redfin.com/VA/Reston/2341-Freetown-Ct-20191/unit-21C/home/168637970,BRIGHT MLS,VAFX1136186,N,Y,38.9357087,-77.3674124,
55,,,1,,,1,,1,2,PAST SALE,July-28-2020,Townhouse,11535 Hemingway Dr,807847,810000,Reston,VA,20194,800000,4,3.5,RESTON SEC 33 BLK 7A HEM,2576,3616,1996,5,311,100,Sold,,,http://www.redfin.com/VA/Reston/11535-Hemingway-Dr-20194/home/9136226,BRIGHT MLS,VAFX1131552,N,Y,38.97711,-77.342771,
56,1,,,,,1,,1,3,PAST SALE,July-30-2020,Single Family Residential,2414 Myrtle Ln,698538,699999,Reston,VA,20191,699999,5,3,RESTON,2903,21098,1971,3,241,59,Sold,,,http://www.redfin.com/VA/Reston/2414-Myrtle-Ln-20191/home/9349969,BRIGHT MLS,VAFX1138692,Y,Y,38.9188187,-77.337692,
