hid,front,back,side,inside,combo,trees,sky,grass,score,SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,redfin est,listed price,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE,comments
88,1,,,,,,1,,2,PAST SALE,July-6-2020,Townhouse,2373 Hunters Square Ct,377057,359950,Reston,VA,20191,359950,3,2.5,HUNTERS SQUARE,1260,1120,1981,27,286,120,Sold,,,http://www.redfin.com/VA/Reston/2373-Hunters-Square-Ct-20191/home/9332836,BRIGHT MLS,VAFX1130984,N,Y,38.936751,-77.364441,
89,1,,,,,1,,,3,PAST SALE,July-27-2020,Townhouse,11615 Golf Course Sq,542428,519900,Reston,VA,20191,540000,3,4,GOLF COURSE SQUARE CLUST,1934,1529,1972,6,279,98,Sold,,,http://www.redfin.com/VA/Reston/11615-Golf-Course-Sq-20191/home/9335028,BRIGHT MLS,VAFX1131784,N,Y,38.9441,-77.349329,
90,1,,,,,1,1,1,3,PAST SALE,July-10-2020,Townhouse,11722 Paysons Way,992288,940995,Reston,VA,20191,1000483,4,4.5,VALLEY AND PARK,3044,1403,2019,23,329,150,Sold,,,http://www.redfin.com/VA/Reston/11722-Paysons-Way-20191/home/166934210,BRIGHT MLS,VAFX1066320,N,Y,38.9493805,-77.3512858,
91,,,,,,,,,,PAST SALE,July-27-2020,Condo/Co-op,11049-B Villaridge Ct,,,Reston,VA,20191,335000,2,2,VILLARIDGE CONDO,1220,,1986,6,275,399,Sold,,,http://www.redfin.com/VA/Reston/11049B-Villaridge-Ct-20191/unit-11049B/home/143595086,BRIGHT MLS,VAFX1136740,N,Y,38.9374014,-77.3270226,
92,1,,,,,1,,,3,PAST SALE,July-15-2020,Townhouse,11266 Silentwood Ln,395743,387500,Reston,VA,20191,390000,2,2.5,RESTON SEC 76 BLK 2A WHI,1041,901,1985,18,375,90,Sold,,,http://www.redfin.com/VA/Reston/11266-Silentwood-Ln-20191/home/9344712,BRIGHT MLS,VAFX1133164,N,Y,38.933366,-77.336091,
93,1,,,,,1,1,,3,PAST SALE,July-31-2020,Townhouse,2090 Golf Course Dr,518336,520000,Reston,VA,20191,535000,3,3.5,GOLF COURSE SQUARE CLUST,1640,1627,1972,2,326,143,Sold,,,http://www.redfin.com/VA/Reston/2090-Golf-Course-Dr-20191/home/9335445,BRIGHT MLS,VAFX1139356,N,Y,38.941937,-77.352651,
94,1,,,,,1,1,,1,PAST SALE,July-31-2020,Condo/Co-op,11760 Sunrise Valley Dr #910,278620,282500,Reston,VA,20191,262500,1,1,MERCER A CONDO,660,,2006,2,398,435,Sold,,,http://www.redfin.com/VA/Reston/11760-Sunrise-Valley-Dr-20191/unit-910/home/17112343,BRIGHT MLS,VAFX1129396,N,Y,38.9497211,-77.3522835,
95,1,,,,,1,1,1,3,PAST SALE,July-31-2020,Single Family Residential,2203 Jester Ct,649560,649800,Reston,VA,20191,670000,4,2.5,RESTON,2176,16415,1972,2,308,59,Sold,,,http://www.redfin.com/VA/Reston/2203-Jester-Ct-20191/home/9359997,BRIGHT MLS,VAFX1137880,N,Y,38.9258893,-77.326587,
96,1,,,,,1,,,3,PAST SALE,July-24-2020,Townhouse,1663 Sierra Woods Dr,446180,439900,Reston,VA,20194,439900,3,2.5,RESTON SEC 49 BLK 4,1550,1325,1984,9,284,90,Sold,,,http://www.redfin.com/VA/Reston/1663-Sierra-Woods-Dr-20194/home/9210235,BRIGHT MLS,VAFX1128844,N,Y,38.971828,-77.363811,
97,,,,1,,,,,1,PAST SALE,July-24-2020,Condo/Co-op,11990 Market St #315,701106,685000,Reston,VA,20190,685000,3,2,MIDTOWN AT RESTON TOWN C,1619,,2006,9,423,1123,Sold,,,http://www.redfin.com/VA/Reston/11990-Market-St-20190/unit-315/home/12073152,BRIGHT MLS,VAFX1117840,N,Y,38.9590789,-77.3610497,
98,,,,1,,1,,,2,PAST SALE,July-24-2020,Condo/Co-op,11405 Windleaf Ct Unit B,418352,407900,Reston,VA,20194,417000,2,2.5,SUTTON RIDGE CONDO,1250,,1996,9,334,369,Sold,,,http://www.redfin.com/VA/Reston/11405-Windleaf-Ct-20194/unit-B/home/172338890,BRIGHT MLS,VAFX1135460,N,Y,38.9851244,-77.3428964,
99,1,,,,,1,1,1,2,PAST SALE,July-13-2020,Single Family Residential,11809 Briar Mill Ln,569918,602950,Reston,VA,20194,551985,4,3.5,RESTON,1638,11319,1985,20,337,59,Sold,,,http://www.redfin.com/VA/Reston/11809-Briar-Mill-Ln-20194/home/9138377,BRIGHT MLS,VAFX1117856,N,Y,38.9724478,-77.3528455,
100,,1,,,,1,1,1,4,PAST SALE,July-17-2020,Single Family Residential,1407 Belcastle Ct,929863,939000,Reston,VA,20194,939000,3,2.5,RESTON,3354,7769,1994,16,280,283,Sold,,,http://www.redfin.com/VA/Reston/1407-Belcastle-Ct-20194/home/9147104,BRIGHT MLS,VAFX1133492,N,Y,38.9769223,-77.3410794,
101,1,,,,,1,1,1,4,PAST SALE,July-31-2020,Single Family Residential,11676 Pellow Circle Ct,771971,775000,Herndon,VA,20170,775000,4,3,SHAKER WOODS,3253,26166,1986,2,238,15,Sold,,,http://www.redfin.com/VA/Herndon/11676-Pellow-Cir-Ct-20170/home/9118922,BRIGHT MLS,VAFX1139000,N,Y,38.9892554,-77.3544036,
102,1,,,,,1,1,1,3,PAST SALE,July-22-2020,Single Family Residential,1312 Red Hawk Cir,868341,854900,Reston,VA,20194,815000,4,4.5,RESTON,2898,5117,1998,11,281,183,Sold,,,http://www.redfin.com/VA/Reston/1312-Red-Hawk-Cir-20194/home/9150374,BRIGHT MLS,VAFX1131260,N,Y,38.9858049,-77.3448929,
103,1,,,,,1,1,1,4,PAST SALE,July-24-2020,Single Family Residential,1133 Round Pebble Ln,998733,989000,Reston,VA,20194,998000,5,3.5,RESTON,4649,19671,1994,9,215,65,Sold,,,http://www.redfin.com/VA/Reston/1133-Round-Pebble-Ln-20194/home/9123188,BRIGHT MLS,VAFX1138832,N,Y,38.9927279,-77.3412813,
104,1,,,,,1,1,,2,PAST SALE,July-15-2020,Townhouse,11547 Hemingway Dr,757551,749000,Reston,VA,20194,750000,4,3.5,RESTON SEC 33 BLK 7A HEM,2844,2279,1990,18,264,110,Sold,,,http://www.redfin.com/VA/Reston/11547-Hemingway-Dr-20194/home/9136285,BRIGHT MLS,VAFX1118318,N,Y,38.977547,-77.343098,
105,1,,,,,,1,,1,PAST SALE,July-27-2020,Condo/Co-op,1540 Northgate Sq Unit 32C,,294900,Reston,VA,20190,290000,3,2,NORTHGATE CONDO,1234,,1971,6,235,461,Sold,,,http://www.redfin.com/VA/Reston/1540-Northgate-Sq-20190/unit-32C/home/167114073,BRIGHT MLS,VAFX1134500,N,Y,38.96822,-77.3353,
106,1,,,,,1,1,1,4,PAST SALE,July-31-2020,Single Family Residential,11331 Bright Pond Ln,993540,1100000,Reston,VA,20194,960000,5,4.5,RESTON,5014,26313,1993,2,191,59,Sold,,,http://www.redfin.com/VA/Reston/11331-Bright-Pond-Ln-20194/home/9125494,BRIGHT MLS,VAFX1105216,N,Y,38.9891182,-77.3400026,
107,1,,,,,1,,,1,PAST SALE,July-6-2020,Townhouse,2301 Southgate Sq,347012,330000,Reston,VA,20191,331000,3,1.5,SOUTHGATE SQUARE CLUSTER,1197,2664,1972,27,277,57,Sold,,,http://www.redfin.com/VA/Reston/2301-Southgate-Sq-20191/home/9323597,BRIGHT MLS,VAFX1128492,N,Y,38.941973,-77.363649,
108,1,,,,,1,,1,3,PAST SALE,July-23-2020,Single Family Residential,2424 Silver Fox Ln,901328,880000,Reston,VA,20191,880000,5,4.5,RESTON,5091,23584,1971,10,173,59,Sold,,,http://www.redfin.com/VA/Reston/2424-Silver-Fox-Ln-20191/home/9346105,BRIGHT MLS,VAFX1133290,N,Y,38.9278295,-77.3610876,
109,1,,,,,1,1,1,3,PAST SALE,July-24-2020,Single Family Residential,2310 Archdale Rd,624705,599999,Reston,VA,20191,599999,4,3,STRATTON WOODS,2464,20000,1977,9,244,40,Sold,,,http://www.redfin.com/VA/Reston/2310-Archdale-Rd-20191/home/9294259,BRIGHT MLS,VAFX1130428,N,Y,38.9437524,-77.380016,
110,1,,,,,1,1,1,5,PAST SALE,July-9-2020,Single Family Residential,2233 Halter Ln,638657,625000,Reston,VA,20191,635000,4,2.5,POLO FIELDS,2320,17700,1986,24,274,59,Sold,,,http://www.redfin.com/VA/Reston/2233-Halter-Ln-20191/home/9202542,BRIGHT MLS,VAFX1131528,N,Y,38.946327,-77.379702,
111,1,,,,,1,,,3,PAST SALE,July-30-2020,Single Family Residential,12276 Turkey Wing Ct,449908,449900,Reston,VA,20191,467000,3,3,RESTON,1660,3536,1975,3,281,91,Sold,,,http://www.redfin.com/VA/Reston/12276-Turkey-Wing-Ct-20191/home/9232676,BRIGHT MLS,VAFX1133268,N,Y,38.9454224,-77.3740059,
112,,,,,,,,,5,PAST SALE,July-7-2020,Townhouse,1271 Weatherstone Ct,,,Reston,VA,20194,575000,3,3.5,RESTON SEC 73 BLK 7 WEAT,1622,1934,1996,26,355,,Sold,,,http://www.redfin.com/VA/Reston/1271-Weatherstone-Ct-20194/home/9144556,BRIGHT MLS,VAFX1139858,N,Y,38.9852589,-77.339787,
113,1,,,,,1,1,1,2,PAST SALE,July-20-2020,Single Family Residential,1429 Waterfront Rd,1047847,1075000,Reston,VA,20194,1038888,5,3.5,RESTON,4330,6224,1997,13,240,151,Sold,,,http://www.redfin.com/VA/Reston/1429-Waterfront-Rd-20194/home/9146799,BRIGHT MLS,VAFX1133976,N,Y,38.9759919,-77.3399129,
114,1,,,,,1,1,1,3,PAST SALE,July-21-2020,Condo/Co-op,11710 Olde English Dr Unit B,285818,297500,Reston,VA,20190,280000,2,2,PARCRESTON CONDO,934,,1985,12,300,434,Sold,,,http://www.redfin.com/VA/Reston/11710-Olde-English-Dr-20190/unit-B/home/28651538,BRIGHT MLS,VAFX1125752,N,Y,38.960927,-77.352505,
115,1,,,,,1,,1,3,PAST SALE,July-9-2020,Townhouse,11740 Indian Ridge Rd,601612,595000,Reston,VA,20191,575000,4,3.5,INDIAN RIDGE CLUSTER,2332,2578,1972,24,247,200,Sold,,,http://www.redfin.com/VA/Reston/11740-Indian-Ridge-Rd-20191/home/9237365,BRIGHT MLS,VAFX1133390,N,Y,38.9475309,-77.353327,
116,1,,,1,1,1,,1,4,PAST SALE,July-15-2020,Single Family Residential,2209 Wakerobin Ln,838164,795000,Reston,VA,20191,817500,5,3.5,RESTON,4504,14392,1985,18,182,59,Sold,,,http://www.redfin.com/VA/Reston/2209-Wakerobin-Ln-20191/home/9343243,BRIGHT MLS,VAFX1127360,N,Y,38.9311559,-77.3367049,
117,1,,,,,1,1,1,3,PAST SALE,July-7-2020,Single Family Residential,1211 Bishopsgate Way,1173537,1175000,Reston,VA,20194,1200000,4,4.5,ASCOT,4592,48432,1983,26,261,13,Sold,,,http://www.redfin.com/VA/Reston/1211-Bishopsgate-Way-20194/home/9158036,BRIGHT MLS,VAFX1129634,N,Y,38.9828116,-77.3260485,
118,1,,,,,1,1,1,1,PAST SALE,July-10-2020,Townhouse,1380 Heritage Oak Way,653863,650000,Reston,VA,20194,650000,3,3,RESTON SEC 61 BLK 2 HERI,2080,2493,1992,23,313,100,Sold,,,http://www.redfin.com/VA/Reston/1380-Heritage-Oak-Way-20194/home/9145655,BRIGHT MLS,VAFX1131964,N,Y,38.9807149,-77.339774,
119,,,,1,,,,,4,PAST SALE,July-22-2020,Townhouse,11712 Paysons Way,879783,915995,Reston,VA,20191,848097,3,3.5,VALLEY AND PARK,2873,1177,2019,11,295,150,Sold,,,http://www.redfin.com/VA/Reston/11712-Paysons-Way-20191/home/167266126,BRIGHT MLS,VAFX1064008,N,Y,38.9492792,-77.3509795,
120,1,,,,,1,,1,3,PAST SALE,July-20-2020,Townhouse,1207 Wild Hawthorn Way,550978,539000,Reston,VA,20194,533000,3,3,RESTON SEC 75 BLK 4B WIL,2229,1494,1997,13,239,108,Sold,,,http://www.redfin.com/VA/Reston/1207-Wild-Hawthorn-Way-20194/home/9124969,BRIGHT MLS,VAFX1125696,N,Y,38.9914,-77.343849,
121,,,,,,,,,,PAST SALE,July-24-2020,Single Family Residential,1159-B Fieldview Dr,,,Reston,VA,20194,1285000,6,4.5,ESTATES AT WYNDHAM HILLS,5885,26507,1998,9,218,12,Sold,,,http://www.redfin.com/VA/Reston/1159B-Fieldview-Dr-20194/home/171473687,BRIGHT MLS,VAFX1124436,N,Y,38.9891094,-77.3353589,
122,,,,,,,,,,PAST SALE,July-24-2020,Condo/Co-op,1965-B Villaridge Dr,,,Reston,VA,20191,249900,1,1,VILLARIDGE CONDO,965,,1984,9,259,353,Sold,,,http://www.redfin.com/VA/Reston/1965B-Villaridge-Dr-20191/home/172243982,BRIGHT MLS,VAFX1136348,N,Y,38.9388868,-77.3278184,
123,1,,,,,1,1,1,1,PAST SALE,July-10-2020,Townhouse,1676 Harvest Green Ct,396033,369900,Reston,VA,20194,370000,2,1.5,RESTON SEC 49 BLK 3A 3B,1210,1014,1983,23,306,86,Sold,,,http://www.redfin.com/VA/Reston/1676-Harvest-Green-Ct-20194/home/9136323,BRIGHT MLS,VAFX1130922,N,Y,38.9750233,-77.3534728,
124,1,,,,,1,1,,3,PAST SALE,July-28-2020,Condo/Co-op,1951 Sagewood Ln #617,96740,118000,Reston,VA,20191,91000,0,1,THOREAU PLACE CONDO,426,,1985,5,214,360,Sold,,,http://www.redfin.com/VA/Reston/1951-Sagewood-Ln-20191/unit-617/home/9357966,BRIGHT MLS,VAFX1108722,N,Y,38.9399294,-77.3279226,
125,1,,,,,1,,,1,PAST SALE,July-31-2020,Single Family Residential,2206 Burgee Ct,840126,899000,Reston,VA,20191,850000,4,3.5,RESTON,2208,14940,1980,2,385,59,Sold,,,http://www.redfin.com/VA/Reston/2206-Burgee-Ct-20191/home/9360834,BRIGHT MLS,VAFX1130070,N,Y,38.9285629,-77.3322854,
126,1,,,,,1,1,,4,PAST SALE,July-31-2020,Condo/Co-op,11775 Stratford House Pl #303,485519,504995,Reston,VA,20190,494000,2,2,STRATFORD CONDO,1271,,2001,2,389,609,Sold,,,http://www.redfin.com/VA/Reston/11775-Stratford-House-Pl-20190/unit-303/home/9838001,BRIGHT MLS,VAFX1109664,N,Y,38.9581194,-77.3538295,
127,1,,,,,1,1,1,4,PAST SALE,July-6-2020,Single Family Residential,11000 Burywood Ln,824897,799900,Reston,VA,20194,780000,4,3.5,ASCOT,3000,32057,1984,27,260,13,Sold,,,http://www.redfin.com/VA/Reston/11000-Burywood-Ln-20194/home/9158244,BRIGHT MLS,VAFX1124380,N,Y,38.9798497,-77.3224588,
128,1,,,,,1,1,1,3,PAST SALE,July-21-2020,Single Family Residential,1324 Red Hawk Cir,881307,874900,Reston,VA,20194,845000,5,3.5,RESTON,4410,5223,1999,12,192,183,Sold,,,http://www.redfin.com/VA/Reston/1324-Red-Hawk-Cir-20194/home/9126187,BRIGHT MLS,VAFX1127862,N,Y,38.9861771,-77.3442648,
129,1,,,,,1,1,1,2,PAST SALE,July-10-2020,Townhouse,1576 Goldenrain Ct,472869,455000,Reston,VA,20190,455000,3,3.5,RESTON SEC 9 BLK 15 REGE,2328,1763,1970,23,195,93,Sold,,,http://www.redfin.com/VA/Reston/1576-Goldenrain-Ct-20190/home/9242309,BRIGHT MLS,VAFX1124682,N,Y,38.9669364,-77.3299747,
130,1,,,,,1,,,4,PAST SALE,July-17-2020,Townhouse,11459 Waterview Cluster,513238,500000,Reston,VA,20190,500000,2,2,RESTON PCL 9 SEC 1 BLK 3,1530,1129,1965,16,327,184,Sold,,,http://www.redfin.com/VA/Reston/11459-Waterview-Cluster-20190/home/9219172,BRIGHT MLS,VAFX1135170,N,Y,38.966449,-77.342444,
